Word,Tense,Path
mobile,ADJ,/wiki/Android_(operating_system)
modified,ADJ,/wiki/Android_(operating_system)
other,ADJ,/wiki/Android_(operating_system)
open,ADJ,/wiki/Android_(operating_system)
touchscreen,ADJ,/wiki/Android_(operating_system)
mobile,ADJ,/wiki/Android_(operating_system)
such,ADJ,/wiki/Android_(operating_system)
specialized,ADJ,/wiki/Android_(operating_system)
digital,ADJ,/wiki/Android_(operating_system)
other,ADJ,/wiki/Android_(operating_system)
Android,NOUN,/wiki/Android_(operating_system)
operating,NOUN,/wiki/Android_(operating_system)
system,NOUN,/wiki/Android_(operating_system)
Google,NOUN,/wiki/Android_(operating_system)
version,NOUN,/wiki/Android_(operating_system)
Linux,NOUN,/wiki/Android_(operating_system)
kernel,NOUN,/wiki/Android_(operating_system)
source,NOUN,/wiki/Android_(operating_system)
software,NOUN,/wiki/Android_(operating_system)
devices,NOUN,/wiki/Android_(operating_system)
smartphones,NOUN,/wiki/Android_(operating_system)
tablets,NOUN,/wiki/Android_(operating_system)
addition,NOUN,/wiki/Android_(operating_system)
Google,NOUN,/wiki/Android_(operating_system)
Android,NOUN,/wiki/Android_(operating_system)
TV,NOUN,/wiki/Android_(operating_system)
televisions,NOUN,/wiki/Android_(operating_system)
Android,NOUN,/wiki/Android_(operating_system)
Auto,NOUN,/wiki/Android_(operating_system)
cars,NOUN,/wiki/Android_(operating_system)
Wear,NOUN,/wiki/Android_(operating_system)
OS,NOUN,/wiki/Android_(operating_system)
wrist,NOUN,/wiki/Android_(operating_system)
watches,NOUN,/wiki/Android_(operating_system)
user,NOUN,/wiki/Android_(operating_system)
interface,NOUN,/wiki/Android_(operating_system)
Variants,NOUN,/wiki/Android_(operating_system)
Android,NOUN,/wiki/Android_(operating_system)
game,NOUN,/wiki/Android_(operating_system)
consoles,NOUN,/wiki/Android_(operating_system)
cameras,NOUN,/wiki/Android_(operating_system)
PCs,NOUN,/wiki/Android_(operating_system)
electronics,NOUN,/wiki/Android_(operating_system)
is,VERB,/wiki/Android_(operating_system)
developed,VERB,/wiki/Android_(operating_system)
based,VERB,/wiki/Android_(operating_system)
designed,VERB,/wiki/Android_(operating_system)
has,VERB,/wiki/Android_(operating_system)
developed,VERB,/wiki/Android_(operating_system)
are,VERB,/wiki/Android_(operating_system)
used,VERB,/wiki/Android_(operating_system)
Mobile,ADJ,/wiki/Mobile_operating_system
mobile,ADJ,/wiki/Mobile_operating_system
g,ADJ,/wiki/Mobile_operating_system
mobile,ADJ,/wiki/Mobile_operating_system
main,ADJ,/wiki/Mobile_operating_system
second,ADJ,/wiki/Mobile_operating_system
low,ADJ,/wiki/Mobile_operating_system
proprietary,ADJ,/wiki/Mobile_operating_system
real,ADJ,/wiki/Mobile_operating_system
other,ADJ,/wiki/Mobile_operating_system
low,ADJ,/wiki/Mobile_operating_system
malicious,ADJ,/wiki/Mobile_operating_system
high,ADJ,/wiki/Mobile_operating_system
mobile,ADJ,/wiki/Mobile_operating_system
devices,NOUN,/wiki/Mobile_operating_system
communications,NOUN,/wiki/Mobile_operating_system
abilities,NOUN,/wiki/Mobile_operating_system
smartphones,NOUN,/wiki/Mobile_operating_system
systems,NOUN,/wiki/Mobile_operating_system
user,NOUN,/wiki/Mobile_operating_system
software,NOUN,/wiki/Mobile_operating_system
platform,NOUN,/wiki/Mobile_operating_system
level,NOUN,/wiki/Mobile_operating_system
time,NOUN,/wiki/Mobile_operating_system
system,NOUN,/wiki/Mobile_operating_system
radio,NOUN,/wiki/Mobile_operating_system
hardware,NOUN,/wiki/Mobile_operating_system
Research,NOUN,/wiki/Mobile_operating_system
level,NOUN,/wiki/Mobile_operating_system
systems,NOUN,/wiki/Mobile_operating_system
range,NOUN,/wiki/Mobile_operating_system
security,NOUN,/wiki/Mobile_operating_system
vulnerabilities,NOUN,/wiki/Mobile_operating_system
base,NOUN,/wiki/Mobile_operating_system
stations,NOUN,/wiki/Mobile_operating_system
levels,NOUN,/wiki/Mobile_operating_system
control,NOUN,/wiki/Mobile_operating_system
device,NOUN,/wiki/Mobile_operating_system
two,NUM,/wiki/Mobile_operating_system
e,VERB,/wiki/Mobile_operating_system
contain,VERB,/wiki/Mobile_operating_system
operating,VERB,/wiki/Mobile_operating_system
facing,VERB,/wiki/Mobile_operating_system
is,VERB,/wiki/Mobile_operating_system
supplemented,VERB,/wiki/Mobile_operating_system
operating,VERB,/wiki/Mobile_operating_system
operates,VERB,/wiki/Mobile_operating_system
has,VERB,/wiki/Mobile_operating_system
shown,VERB,/wiki/Mobile_operating_system
may,VERB,/wiki/Mobile_operating_system
contain,VERB,/wiki/Mobile_operating_system
permitting,VERB,/wiki/Mobile_operating_system
gain,VERB,/wiki/Mobile_operating_system
efficient,ADJ,/wiki/Operating_system
other,ADJ,/wiki/Operating_system
Time,NOUN,/wiki/Operating_system
systems,NOUN,/wiki/Operating_system
schedule,NOUN,/wiki/Operating_system
tasks,NOUN,/wiki/Operating_system
use,NOUN,/wiki/Operating_system
system,NOUN,/wiki/Operating_system
accounting,NOUN,/wiki/Operating_system
software,NOUN,/wiki/Operating_system
cost,NOUN,/wiki/Operating_system
allocation,NOUN,/wiki/Operating_system
processor,NOUN,/wiki/Operating_system
time,NOUN,/wiki/Operating_system
mass,NOUN,/wiki/Operating_system
storage,NOUN,/wiki/Operating_system
printing,NOUN,/wiki/Operating_system
resources,NOUN,/wiki/Operating_system
sharing,VERB,/wiki/Operating_system
operating,VERB,/wiki/Operating_system
may,VERB,/wiki/Operating_system
include,VERB,/wiki/Operating_system
